fevax@fevax-cocina:/mnt/Android/logcats/dream2lte$ adb shell cat /proc/last_kmsg
08378]  [2:  Binder:3390_2: 4636] [@][0][GP9] sensor fcount: 13, fcount: 13
<6>[    1.186868]  [7:      swapper/0:    1] gamma[ 30] : 00 8C 00 9B 00 8D 91 91 91 86 87 87 87 82 86 88 89 85 86 86 7D 92 97 86 BD C6 AF AF 9E A2 50 5B 59 00 00 
<6>[    1.186877]  [7:      swapper/0:    1] gamma[ 32] : 00 8C 00 9B 00 8D 91 91 91 86 87 87 87 82 86 84 85 81 89 8B 81 92 97 87 B6 BD A6 AF 9D A2 54 5F 5C 00 00 
<6>[    1.186885]  [7:      swapper/0:    1] gamma[ 34] : 00 8C 00 9B 00 8D 91 91 91 86 87 87 87 82 86 85 85 82 89 8B 82 92 97 87 B6 BD A7 AF 9D A2 54 5F 5C 00 00 
<6>[    1.186894]  [7:      swapper/0:    1] gamma[ 37] : 00 8C 00 9B 00 8D 91 91 91 87 87 88 86 82 85 82 80 80 89 8A 83 91 94 84 B5 BB A4 B0 9D A2 57 62 60 00 00 
<6>[    1.186903]  [7:      swapper/0:    1] gamma[ 39] : 00 8C 00 9B 00 8D 91 91 91 87 87 88 86 82 85 82 80 80 89 8A 83 91 94 84 B4 BB A5 B0 9D A2 57 62 60 00 00 
<6>[    1.186911]  [7:      swapper/0:    1] gamma[ 41] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 85 7F 7F 7D 88 88 81 90 93 83 B2 BA A4 A8 96 95 5F 6A 66 00 00 
<6>[    1.186920]  [7:      swapper/0:    1] gamma[ 44] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 85 7F 7F 7D 89 88 82 90 93 85 B2 BA A4 A8 96 95 5F 6A 66 00 00 
<6>[    1.186929]  [7:      swapper/0:    1] gamma[ 47] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 85 80 7F 7E 88 88 82 90 93 85 AB B1 9B B0 9D A1 5F 6A 66 00 00 
<6>[    1.186937]  [7:      swapper/0:    1] gamma[ 50] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 86 80 7F 7D 88 88 82 89 8B 7D B2 B9 A4 A4 94 92 66 6F 6C 00 00 
<6>[    1.186946]  [7:      swapper/0:    1] gamma[ 53] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 86 80 7F 7D 88 88 83 89 8B 7D A9 AF 99 AC 9B 9F 66 6F 6C 00 00 
<6>[    1.186955]  [7:      swapper/0:    1] gamma[ 56] : 00 8C 00 9B 00 8D 90 90 90 87 86 88 86 81 86 81 7F 7E 88 88 83 89 8B 7E A8 AF 9A AC 9B 9F 66 6F 6C 00 00 
<6>[    1.186964]  [7:      swapper/0:    1] gamma[ 60] : 00 8E 00 9C 00 8F 8F 8F 8F 86 87 88 87 82 87 7F 7C 7C 88 88 83 89 8B 7F A8 AF 9A AC 9B 9F 66 6F 6C 00 00 
<6>[    1.186972]  [7:      swapper/0:    1] gamma[ 64] : 00 93 00 A0 00 93 8E 8E 8E 87 87 87 86 82 86 81 7E 80 84 83 7E 89 8B 7F A9 AF 9B AB 9B 9F 66 6F 6C 00 00 
<6>[    1.186981]  [7:      swapper/0:    1] gamma[ 68] : 00 96 00 A2 00 96 8E 8E 8E 88 88 89 84 80 84 80 7C 7D 84 83 7E 91 93 89 A2 A7 94 AB 9B 9E 66 6F 6C 00 00 
<6>[    1.186990]  [7:      swapper/0:    1] gamma[ 72] : 00 9A 00 A6 00 9A 8D 8E 8E 88 88 88 84 81 84 80 7C 7D 86 85 81 8B 8C 83 A2 A7 94 AA 9B 9E 66 6F 6C 00 00 
<6>[    1.186998]  [7:      swapper/0:    1] gamma[ 77] : 00 9E 00 AA 00 9E 8E 8E 8E 87 86 88 85 80 85 82 7E 80 87 86 82 85 87 7E A2 A7 94 AA 9B 9E 66 6F 6C 00 00 
<6>[    1.187007]  [7:      swapper/0:    1] gamma[ 82] : 00 A1 00 AD 00 A2 8E 8D 8E 85 85 87 85 82 85 82 7F 80 83 82 7F 85 87 7D A2 A7 94 AA 9B 9E 66 6F 6C 00 00 
<6>[    1.187016]  [7:      swapper/0:    1] gamma[ 87] : 00 A6 00 B1 00 A6 8E 8E 8E 84 85 85 84 82 84 83 7F 81 84 83 80 88 8A 82 A4 A9 98 A4 94 94 66 6F 6C 00 00 
<6>[    1.187024]  [7:      swapper/0:    1] gamma[ 93] : 00 A9 00 B4 00 AA 8E 8E 8D 86 87 87 85 81 85 82 7F 81 84 84 81 84 85 7D A4 A9 96 A4 94 94 66 6F 6C 00 00 
<6>[    1.187033]  [7:      swapper/0:    1] gamma[ 98] : 00 AE 00 B8 00 AF 8F 8E 8E 83 86 85 86 83 86 84 83 82 86 84 81 89 8A 85 9C 9B 8A AF 9D A0 5F 6A 66 00 00 
<6>[    1.187042]  [7:      swapper/0:    1] gamma[105] : 00 B3 00 BC 00 B4 8E 8D 8E 86 88 85 86 83 86 82 7F 81 84 84 82 81 82 7E A4 AB 99 A7 96 95 5F 6A 66 00 00 
<6>[    1.187050]  [7:      swapper/0:    1] gamma[111] : 00 B8 00 C0 00 B8 8D 8C 8D 87 87 87 82 80 82 83 82 82 83 81 7F 87 8A 84 9F A3 93 A7 96 95 5F 6A 66 00 00 
<6>[    1.187059]  [7:      swapper/0:    1] gamma[119] : 00 BD 00 C4 00 BD 8D 8C 8D 85 86 84 84 80 84 82 82 82 84 83 81 88 8C 86 99 9C 8D A6 96 94 5F 6A 66 00 00 
<6>[    1.187068]  [7:      swapper/0:    1] gamma[126] : 00 C1 00 C8 00 C1 8E 8C 8D 83 85 84 84 82 84 80 7E 80 87 87 84 84 88 83 99 9C 8D A6 96 95 5F 6A 66 00 00 
<6>[    1.187076]  [7:      swapper/0:    1] gamma[134] : 00 C5 00 CB 00 C6 8C 8C 8D 84 85 84 83 80 83 81 80 81 84 84 82 85 88 83 99 9C 8D A6 96 95 5F 6A 66 00 00 
<6>[    1.187085]  [7:      swapper/0:    1] gamma[143] : 00 C9 00 CF 00 CA 8C 8B 8D 84 84 84 84 82 84 80 7F 80 85 86 83 82 83 81 99 9C 8F A6 96 96 5F 6A 66 00 00 
<6>[    1.187094]  [7:      swapper/0:    1] gamma[152] : 00 CD 00 D2 00 CF 8D 8C 8C 84 85 85 84 80 82 82 82 82 84 84 82 83 86 82 9A 9E 92 A0 8F 8D 5F 6A 66 00 00 
<6>[    1.187102]  [7:      swapper/0:    1] gamma[162] : 00 D2 00 D7 00 D3 8B 8A 8B 84 85 84 82 81 83 85 84 85 7E 7E 7D 84 86 82 9A 9E 93 A0 8F 8E 5F 6A 66 00 00 
<6>[    1.187111]  [7:      swapper/0:    1] gamma[172] : 00 D7 00 DC 00 D9 8A 89 8A 84 85 84 82 81 83 84 84 83 7F 7F 7E 81 81 7F 9A 9E 93 A0 8F 8E 5F 6A 66 00 00 
<6>[    1.187119]  [7:      swapper/0:    1] gamma[183] : 00 DA 00 DE 00 DB 89 89 89 84 84 84 83 84 85 83 81 81 7F 7F 7D 88 88 85 8E 90 84 8D 84 83 6E 74 72 00 00 
<6>[    1.187128]  [7:      swapper/0:    1] gamma[195] : 00 DA 00 DE 00 DB 88 88 88 84 85 84 82 80 82 83 83 83 82 82 82 81 81 80 94 96 8D 8F 84 82 6E 74 72 00 00 
<6>[    1.187137]  [7:      swapper/0:    1] gamma[207] : 00 DA 00 DE 00 DB 88 88 88 83 84 83 82 81 82 83 83 83 82 82 82 81 81 80 8C 8E 86 8B 82 7E 76 7A 78 00 00 
<6>[    1.187145]  [7:      swapper/0:    1] gamma[220] : 00 DA 00 DE 00 DB 88 88 88 83 84 83 82 81 82 80 80 81 82 81 81 84 86 83 8C 8E 87 8B 82 80 76 7A 78 00 00 
<6>[    1.187154]  [7:      swapper/0:    1] gamma[234] : 00 DA 00 DE 00 DB 87 87 87 83 84 83 82 80 82 82 81 83 82 81 81 7E 7F 7D 89 8B 84 91 89 88 76 7A 78 00 00 
<6>[    1.187162]  [7:      swapper/0:    1] gamma[249] : 00 DB 00 DF 00 DC 87 87 87 82 84 83 82 7F 81 81 81 82 82 81 81 7E 7F 7D 89 8B 85 9E 92 94 6E 74 72 00 00 
<6>[    1.187171]  [7:      swapper/0:    1] gamma[265] : 00 DF 00 E3 00 E0 87 87 87 83 83 82 82 7F 82 80 81 81 80 7E 7E 7E 7F 7D 89 8B 86 91 89 87 76 7A 78 00 00 
<6>[    1.187180]  [7:      swapper/0:    1] gamma[282] : 00 E5 00 E8 00 E6 86 86 86 82 83 82 81 7E 80 83 82 84 80 7F 7F 81 81 80 86 85 82 91 89 89 76 7A 78 00 00 
<6>[    1.187188]  [7:      swapper/0:    1] gamma[300] : 00 E9 00 EC 00 EA 84 85 84 82 82 82 81 80 81 82 82 83 7F 7D 7D 82 81 80 86 85 83 90 89 89 76 7A 78 00 00 
<6>[    1.187197]  [7:      swapper/0:    1] gamma[316] : 00 EF 00 F0 00 F0 84 84 84 82 82 82 82 80 81 81 81 82 7E 7E 7D 83 84 83 81 80 7E 90 89 8B 76 7A 78 00 00 
<6>[    1.187205]  [7:      swapper/0:    1] gamma[333] : 00 F3 00 F5 00 F4 83 83 83 81 81 81 82 81 82 81 81 82 81 80 80 80 80 7F 81 80 7F 91 89 8C 76 7A 78 00 00 
<6>[    1.187214]  [7:      swapper/0:    1] gamma[350] : 00 F7 00 F8 00 F8 83 83 83 81 81 80 80 80 81 81 81 82 7E 7B 7C 82 84 82 81 80 80 85 80 81 80 80 80 00 00 
<6>[    1.187222]  [7:      swapper/0:    1] gamma[357] : 00 FA 00 FB 00 FB 82 82 82 82 81 81 7F 7E 7F 80 81 81 81 80 80 80 80 80 81 80 80 85 80 81 80 80 80 00 00 
<6>[    1.187231]  [7:      swapper/0:    1] gamma[365] : 00 FB 00 FC 00 FC 81 81 81 82 81 81 80 80 80 80 80 81 82 83 81 7E 7C 7E 82 80 81 85 80 83 80 80 80 00 00 
<6>[    1.187240]  [7:      swapper/0:    1] gamma[372] : 00 FB 00 FC 00 FC 81 81 81 81 81 81 81 80 80 80 80 81 82 83 81 7E 7C 7E 82 80 81 85 80 83 80 80 80 00 00 
<6>[    1.187248]  [7:      swapper/0:    1] gamma[380] : 00 FB 00 FC 00 FC 81 81 81 81 81 81 81 80 80 80 80 81 82 83 81 80 81 81 7E 7B 7D 85 80 83 80 80 80 00 00 
<6>[    1.187257]  [7:      swapper/0:    1] gamma[387] : 00 FB 00 FC 00 FC 81 81 81 80 80 80 81 80 80 80 80 81 82 83 81 80 81 81 7E 7B 7D 83 80 83 80 80 80 00 00 
<6>[    1.187265]  [7:      swapper/0:    1] gamma[395] : 00 FB 00 FC 00 FC 81 81 81 80 80 80 81 80 80 80 80 81 82 83 81 80 81 81 7E 7B 7D 83 80 82 80 80 80 00 00 
<6>[    1.187274]  [7:      swapper/0:    1] gamma[403] : 00 FC 00 FD 00 FD 81 81 81 80 80 80 81 80 80 7F 80 80 83 83 82 80 81 81 83 83 81 86 82 83 76 7A 78 00 00 
<6>[    1.187283]  [7:      swapper/0:    1] gamma[412] : 00 FE 00 FF 00 FF 80 80 80 80 80 80 81 80 80 7F 80 80 82 81 80 80 81 81 83 83 82 86 82 83 76 7A 78 00 00 
<6>[    1.187291]  [7:      swapper/0:    1] gamma[420] : 01 00 01 00 01 00 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 00 00 
<6>[    1.187300]  [7:      swapper/0:    1] gamma[443] : 01 04 01 04 01 04 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 78 79 7A 00 00 
<6>[    1.187308]  [7:      swapper/0:    1] gamma[465] : 01 09 01 08 01 09 7F 7F 7F 7F 80 7F 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 7F 80 70 72 74 00 00 
<6>[    1.187317]  [7:      swapper/0:    1] gamma[488] : 01 0E 01 0D 01 0E 7F 7E 7F 7F 7F 7F 80 80 80 80 80 80 80 81 80 80 80 80 80 80 80 80 7F 80 67 6A 6D 00 00 
<6>[    1.187325]  [7:      swapper/0:    1] gamma[510] : 01 13 01 11 01 13 7E 7D 7E 7E 7F 7E 80 7F 7F 7F 80 7F 81 81 81 80 80 80 80 7F 80 80 7E 7F 5F 63 67 00 00 
<6>[    1.187334]  [7:      swapper/0:    1] gamma[533] : 01 18 01 15 01 18 7D 7C 7D 7E 7F 7E 80 7F 7F 7F 80 7F 81 81 81 80 80 80 80 7F 80 80 7D 7F 56 5B 60 00 00 
<6>[    1.187343]  [7:      swapper/0:    1] gamma[555] : 01 1D 01 1A 01 1D 7D 7B 7D 7D 7E 7D 80 7F 7F 7F 80 7F 81 82 81 80 80 80 80 7F 80 80 7D 7F 4E 54 5A 00 00 
<6>[    1.187351]  [7:      swapper/0:    1] gamma[578] : 01 22 01 1E 01 22 7C 7A 7C 7D 7E 7D 80 7F 7F 7F 80 7F 81 82 81 80 80 80 80 7F 80 80 7C 7F 46 4D 54 00 00 
<6>[    1.187360]  [7:      swapper/0:    1] gamma[600] : 01 27 01 23 01 27 7B 79 7B 7C 7D 7C 7F 7E 7E 7E 7F 7E 82 83 82 7F 80 80 7F 7E 7F 7F 7B 7E 3D 45 4D 00 00 
<6>[    1.187368]  [7:      swapper/0:    1] gamma[720] : 01 27 01 23 01 27 7B 79 7B 7C 7D 7C 7F 7E 7E 7E 7F 7E 82 83 82 7F 80 80 7F 7E 7F 7F 7B 7E 3D 45 4D 00 00 
<6>[    1.187374]  [7:      swapper/0:    1] init_subdev_gamma_table panel_bl-0 gamma_table initialized
<6>[    1.187395]  [7:      swapper/0:    1] init_dimming_mtp, init mtp offset
<6>[    1.187399]  [7:      swapper/0:    1] VT      2    3    2   
<6>[    1.187404]  [7:      swapper/0:    1] V1      67   59   51  
<6>[    1.187408]  [7:      swapper/0:    1] V7      75   91   83  
<6>[    1.187413]  [7:      swapper/0:    1] V11     42   31   49  
<6>[    1.187417]  [7:      swapper/0:    1] V23     78   67   80  
<6>[    1.187421]  [7:      swapper/0:    1] V35     82   74   86  
<6>[    1.187426]  [7:      swapper/0:    1] V51     67   59   72  
<6>[    1.187430]  [7:      swapper/0:    1] V87     62   58   67  
<6>[    1.187434]  [7:      swapper/0:    1] V151    86   83   89  
<6>[    1.187439]  [7:      swapper/0:    1] V203    83   82   86  
<6>[    1.187443]  [7:      swapper/0:    1] V255    48   -9   76  
<6>[    1.187566]  [7:      swapper/0:    1] [GAMMA_CENTER_START]
<6>[    1.187574]  [7:      swapper/0:    1] 10    93  113 95  144 141 143 136 135 135 131 125 130 141 143 138 137 141 134 141 152 141 176 194 169 162 154 153 110 116 114 0   0   0   
<6>[    1.187583]  [7:      swapper/0:    1] 11    97  116 99  144 142 143 139 137 137 128 122 128 144 145 140 138 142 135 134 144 135 176 194 169 162 153 153 110 116 114 0   0   0   
<6>[    1.187592]  [7:      swapper/0:    1] 12    101 119 103 144 142 144 136 134 135 136 131 135 138 138 135 133 137 130 142 153 142 183 197 174 149 144 142 110 116 114 0   0   0   
<6>[    1.187601]  [7:      swapper/0:    1] 13    105 123 107 146 145 145 133 131 132 132 128 133 138 138 135 140 145 137 135 146 136 168 185 162 162 153 153 110 116 114 0   0   0   
<6>[    1.187610]  [7:      swapper/0:    1] 14    109 126 111 145 144 144 135 133 134 130 126 131 139 140 136 136 139 133 143 155 143 175 188 167 154 146 146 110 116 114 0   0   0   
<6>[    1.187618]  [7:      swapper/0:    1] 15    112 129 114 145 144 144 134 132 133 131 127 132 136 137 134 143 147 139 128 138 129 183 197 174 154 146 146 110 116 114 0   0   0   
<6>[    1.187627]  [7:      swapper/0:    1] 16    115 132 118 145 145 145 134 132 133 135 131 135 132 132 130 139 142 135 136 147 136 175 188 167 155 148 148 110 116 114 0   0   0   
<6>[    1.187636]  [7:      swapper/0:    1] 17    117 134 120 146 145 145 133 132 132 130 126 131 135 135 133 139 142 135 136 147 136 175 188 167 155 148 148 110 116 114 0   0   0   
<6>[    1.187645]  [7:      swapper/0:    1] 19    123 139 126 145 144 144 133 132 132 131 127 131 137 139 135 137 139 133 137 148 137 167 179 160 154 149 149 110 116 114 0   0   0   
<6>[    1.187653]  [7:      swapper/0:    1] 20    127 142 130 145 145 145 133 132 132 132 128 132 136 137 134 140 142 136 131 141 131 153 168 148 167 158 157 110 116 114 0   0   0   
<6>[    1.187662]  [7:      swapper/0:    1] 21    129 144 132 145 144 144 134 133 133 135 132 135 131 132 130 140 142 136 131 141 131 167 179 160 163 152 154 102 111 108 0   0   0   
<6>[    1.187671]  [7:      swapper/0:    1] 22    132 147 135 144 143 143 135 134 133 135 132 135 132 133 131 136 137 132 131 141 131 176 189 168 156 146 147 102 111 108 0   0   0   
<6>[    1.187679]  [7:      swapper/0:    1] 23    134 148 137 145 144 144 133 133 132 131 127 131 135 136 133 142 144 138 132 142 132 168 181 161 156 146 146 102 111 108 0   0   0   
<6>[    1.187688]  [7:      swapper/0:    1] 25    139 153 142 143 142 143 134 135 133 131 128 131 133 135 132 138 139 134 132 142 132 168 181 161 157 148 149 102 111 108 0   0   0   
<6>[    1.187697]  [7:      swapper/0:    1] 27    142 155 145 145 144 144 133 134 132 131 128 131 135 136 134 134 134 130 132 142 132 168 181 161 157 148 149 102 111 108 0   0   0   
<6>[    1.187705]  [7:      swapper/0:    1] 29    147 160 150 145 144 144 133 133 132 132 129 132 133 135 133 135 135 131 134 145 134 161 173 154 158 148 150 102 111 108 0   0   0   
<6>[    1.187714]  [7:      swapper/0:    1] 31    151 163 154 144 144 144 134 135 133 132 130 132 132 133 131 136 136 131 130 140 130 161 173 154 158 148 150 102 111 108 0   0   0   
<6>[    1.187723]  [7:      swapper/0:    1] 33    155 166 158 145 144 144 135 135 134 128 126 128 132 133 131 140 141 135 133 142 133 162 175 155 151 143 144 102 111 108 0   0   0   
<6>[    1.187732]  [7:      swapper/0:    1] 35    157 169 160 145 144 144 134 135 133 132 130 132 130 132 130 136 137 132 133 142 133 162 175 155 151 143 144 102 111 108 0   0   0   
<6>[    1.187740]  [7:      swapper/0:    1] 37    161 172 164 144 143 143 134 135 133 132 131 132 130 131 129 133 133 129 133 142 133 162 175 155 151 143 145 102 111 108 0   0   0   
<6>[    1.187749]  [7:      swapper/0:    1] 39    164 175 167 144 143 143 135 135 133 133 131 132 129 131 129 134 135 130 136 145 135 156 167 149 150 143 143 102 111 108 0   0   0   
<6>[    1.187758]  [7:      swapper/0:    1] 41    167 177 170 144 143 143 134 134 133 132 130 132 132 134 131 135 136 131 132 140 131 156 167 149 150 143 143 102 111 108 0   0   0   
<6>[    1.187767]  [7:      swapper/0:    1] 44    171 181 175 144 143 143 133 134 132 132 131 132 130 132 129 137 138 133 128 135 127 156 167 149 149 141 143 102 111 108 0   0   0   
<6>[    1.187775]  [7:      swapper/0:    1] 47    176 185 179 144 143 143 134 135 133 132 131 132 129 131 129 134 135 130 134 142 133 157 169 150 153 143 144 95  106 102 0   0   0   
<6>[    1.187784]  [7:      swapper/0:    1] 50    179 188 183 144 143 143 133 134 132 131 130 131 130 133 130 135 136 131 130 138 130 157 169 150 153 143 145 95  106 102 0   0   0   
<6>[    1.187793]  [7:      swapper/0:    1] 53    183 191 186 145 143 144 134 134 132 131 130 130 130 132 129 132 133 129 137 145 136 151 162 145 153 143 145 95  106 102 0   0   0   
<6>[    1.187801]  [7:      swapper/0:    1] 56    187 195 190 143 142 142 134 135 133 130 130 130 131 133 130 133 135 130 133 140 132 151 162 145 153 143 145 95  106 102 0   0   0   
<6>[    1.187810]  [7:      swapper/0:    1] 60    191 199 194 144 142 143 133 134 132 130 130 130 130 133 130 134 136 131 129 136 128 151 162 145 153 143 146 95  106 102 0   0   0   
<6>[    1.187819]  [7:      swapper/0:    1] 64    196 203 199 143 142 142 133 134 132 131 131 131 128 131 128 136 137 133 132 138 130 145 156 139 153 143 144 95  106 102 0   0   0   
<6>[    1.187827]  [7:      swapper/0:    1] 68    201 208 204 142 141 142 134 134 132 129 129 129 132 135 131 130 131 128 136 143 135 148 159 142 147 136 140 95  106 102 0   0   0   
<6>[    1.187836]  [7:      swapper/0:    1] 72    205 210 208 144 143 143 133 133 132 131 131 131 130 133 129 131 133 129 132 139 131 141 151 135 154 143 147 95  106 102 0   0   0   
<6>[    1.187845]  [7:      swapper/0:    1] 77    184 192 186 143 142 142 132 133 132 130 129 130 122 123 123 130 131 128 123 129 123 155 162 149 138 130 134 128 128 128 0   0   0   
<6>[    1.187854]  [7:      swapper/0:    1] 82    187 196 189 143 142 142 132 133 132 131 129 131 125 125 125 125 124 124 124 129 123 155 163 149 146 138 143 118 122 120 0   0   0   
<6>[    1.187863]  [7:      swapper/0:    1] 87    193 200 194 143 142 142 132 133 132 131 129 131 122 122 123 129 129 126 126 131 125 150 156 143 146 138 142 118 122 120 0   0   0   
<6>[    1.187871]  [7:      swapper/0:    1] 93    197 204 198 142 141 142 133 133 133 130 129 129 126 127 126 126 124 123 122 127 122 149 156 142 146 138 146 118 122 120 0   0   0   
<6>[    1.187880]  [7:      swapper/0:    1] 99    203 209 204 142 140 141 133 133 132 130 129 129 127 127 127 122 121 120 135 141 134 145 151 139 138 131 133 118 122 120 0   0   0   
<6>[    1.187889]  [7:      swapper/0:    1] 105   209 212 209 141 140 139 131 133 132 131 130 131 126 127 125 123 124 122 126 130 126 151 157 145 138 131 134 118 122 120 0   0   0   
<6>[    1.187893]  [7:      swapper/0:    1] [GAMMA_CENTER_END]
<6>[    1.187893]  [7:      swapper/0:    1] 
<6>[    1.187900]  [7:      swapper/0:    1] elapsed time 0 us
<6>[    1.187922]  [7:      swapper/0:    1] gamma[ 10] : 00 5D 00 71 00 5F 90 8D 8F 88 87 87 83 7D 82 8D 8F 8A 89 8D 86 8D 98 8D B0 C2 A9 A2 9A 99 6E 74 72 00 00 
<6>[    1.187931]  [7:      swapper/0:    1] gamma[ 11] : 00 61 00 74 00 63 90 8E 8F 8B 89 89 80 7A 80 90 91 8C 8A 8E 87 86 90 87 B0 C2 A9 A2 99 99 6E 74 72 00 00 
<6>[    1.187940]  [7:      swapper/0:    1] gamma[ 12] : 00 65 00 77 00 67 90 8E 90 88 86 87 88 83 87 8A 8A 87 85 89 82 8E 99 8E B7 C5 AE 95 90 8E 6E 74 72 00 00 
<6>[    1.187948]  [7:      swapper/0:    1] gamma[ 13] : 00 69 00 7B 00 6B 92 91 91 85 83 84 84 80 85 8A 8A 87 8C 91 89 87 92 88 A8 B9 A2 A2 99 99 6E 74 72 00 00 
<6>[    1.187956]  [7:      swapper/0:    1] gamma[ 14] : 00 6D 00 7E 00 6F 91 90 90 87 85 86 82 7E 83 8B 8C 88 88 8B 85 8F 9B 8F AF BC A7 9A 92 92 6E 74 72 00 00 
<6>[    1.187967]  [7:      swapper/0:    1] gamma[ 15] : 00 70 00 81 00 72 91 90 90 86 84 85 83 7F 84 88 89 86 8F 93 8B 80 8A 81 B7 C5 AE 9A 92 92 6E 74 72 00 00 
<6>[    1.187976]  [7:      swapper/0:    1] gamma[ 16] : 00 73 00 84 00 76 91 91 91 86 84 85 87 83 87 84 84 82 8B 8E 87 88 93 88 AF BC A7 9B 94 94 6E 74 72 00 00 
<6>[    1.187984]  [7:      swapper/0:    1] gamma[ 17] : 00 75 00 86 00 78 92 91 91 85 84 84 82 7E 83 87 87 85 8B 8E 87 88 93 88 AF BC A7 9B 94 94 6E 74 72 00 00 
<6>[    1.187993]  [7:      swapper/0:    1] gamma[ 19] : 00 7B 00 8B 00 7E 91 90 90 85 84 84 83 7F 83 89 8B 87 89 8B 85 89 94 89 A7 B3 A0 9A 95 95 6E 74 72 00 00 
<6>[    1.188001]  [7:      swapper/0:    1] gamma[ 20] : 00 7F 00 8E 00 82 91 91 91 85 84 84 84 80 84 88 89 86 8C 8E 88 83 8D 83 99 A8 94 A7 9E 9D 6E 74 72 00 00 
<6>[    1.188010]  [7:      swapper/0:    1] gamma[ 21] : 00 81 00 90 00 84 91 90 90 86 85 85 87 84 87 83 84 82 8C 8E 88 83 8D 83 A7 B3 A0 A3 98 9A 66 6F 6C 00 00 
<6>[    1.188018]  [7:      swapper/0:    1] gamma[ 22] : 00 84 00 93 00 87 90 8F 8F 87 86 85 87 84 87 84 85 83 88 89 84 83 8D 83 B0 BD A8 9C 92 93 66 6F 6C 00 00 
<6>[    1.188027]  [7:      swapper/0:    1] gamma[ 23] : 00 86 00 94 00 89 91 90 90 85 85 84 83 7F 83 87 88 85 8E 90 8A 84 8E 84 A8 B5 A1 9C 92 92 66 6F 6C 00 00 
<6>[    1.188036]  [7:      swapper/0:    1] gamma[ 25] : 00 8B 00 99 00 8E 8F 8E 8F 86 87 85 83 80 83 85 87 84 8A 8B 86 84 8E 84 A8 B5 A1 9D 94 95 66 6F 6C 00 00 
<6>[    1.188044]  [7:      swapper/0:    1] gamma[ 27] : 00 8E 00 9B 00 91 91 90 90 85 86 84 83 80 83 87 88 86 86 86 82 84 8E 84 A8 B5 A1 9D 94 95 66 6F 6C 00 00 
<6>[    1.188053]  [7:      swapper/0:    1] gamma[ 29] : 00 93 00 A0 00 96 91 90 90 85 85 84 84 81 84 85 87 85 87 87 83 86 91 86 A1 AD 9A 9E 94 96 66 6F 6C 00 00 
<6>[    1.188061]  [7:      swapper/0:    1] gamma[ 31] : 00 97 00 A3 00 9A 90 90 90 86 87 85 84 82 84 84 85 83 88 88 83 82 8C 82 A1 AD 9A 9E 94 96 66 6F 6C 00 00 
<6>[    1.188097]  [7:      swapper/0:    1] gamma[ 33] : 00 9B 00 A6 00 9E 91 90 90 87 87 86 80 7E 80 84 85 83 8C 8D 87 85 8E 85 A2 AF 9B 97 8F 90 66 6F 6C 00 00 
<6>[    1.188106]  [7:      swapper/0:    1] gamma[ 35] : 00 9D 00 A9 00 A0 91 90 90 86 87 85 84 82 84 82 84 82 88 89 84 85 8E 85 A2 AF 9B 97 8F 90 66 6F 6C 00 00 
<6>[    1.188115]  [7:      swapper/0:    1] gamma[ 37] : 00 A1 00 AC 00 A4 90 8F 8F 86 87 85 84 83 84 82 83 81 85 85 81 85 8E 85 A2 AF 9B 97 8F 91 66 6F 6C 00 00 
<6>[    1.188123]  [7:      swapper/0:    1] gamma[ 39] : 00 A4 00 AF 00 A7 90 8F 8F 87 87 85 85 83 84 81 83 81 86 87 82 88 91 87 9C A7 95 96 8F 8F 66 6F 6C 00 00 
<6>[    1.188132]  [7:      swapper/0:    1] gamma[ 41] : 00 A7 00 B1 00 AA 90 8F 8F 86 86 85 84 82 84 84 86 83 87 88 83 84 8C 83 9C A7 95 96 8F 8F 66 6F 6C 00 00 
<6>[    1.188140]  [7:      swapper/0:    1] gamma[ 44] : 00 AB 00 B5 00 AF 90 8F 8F 85 86 84 84 83 84 82 84 81 89 8A 85 80 87 7F 9C A7 95 95 8D 8F 66 6F 6C 00 00 
<6>[    1.188148]  [7:      swapper/0:    1] gamma[ 47] : 00 B0 00 B9 00 B3 90 8F 8F 86 87 85 84 83 84 81 83 81 86 87 82 86 8E 85 9D A9 96 99 8F 90 5F 6A 66 00 00 
<6>[    1.188157]  [7:      swapper/0:    1] gamma[ 50] : 00 B3 00 BC 00 B7 90 8F 8F 85 86 84 83 82 83 82 85 82 87 88 83 82 8A 82 9D A9 96 99 8F 91 5F 6A 66 00 00 
<6>[    1.188165]  [7:      swapper/0:    1] gamma[ 53] : 00 B7 00 BF 00 BA 91 8F 90 86 86 84 83 82 82 82 84 81 84 85 81 89 91 88 97 A2 91 99 8F 91 5F 6A 66 00 00 
